Created-At,PartyName,Score
2020-07-01,Democrats,0.15827595934643218
2020-07-01,Republicans,-0.10920228065562963
2020-07-02,Democrats,0.0646549879594941
2020-07-02,Republicans,-0.06409994198566359
2020-07-03,Democrats,0.003383892670886587
2020-07-03,Republicans,-0.013563306608460167
2020-07-04,Democrats,0.006900243390403219
2020-07-04,Republicans,0.1168349857745095
2020-07-05,Democrats,0.07042973228974525
2020-07-05,Republicans,0.03424505833212185
2020-07-06,Democrats,0.01567245958417323
2020-07-06,Republicans,-0.1405824519302133
2020-07-07,Democrats,-0.0032346470785637074
2020-07-07,Republicans,-0.09840203998300219
2020-07-08,Democrats,0.10089895353751976
2020-07-08,Republicans,-0.07668488210741478
2020-07-09,Democrats,0.039923913405462794
2020-07-09,Republicans,-0.04382498987703259
2020-07-10,Democrats,0.10131588720259464
2020-07-10,Republicans,0.01258017390852171
2020-07-11,Democrats,0.09215989200103576
2020-07-11,Republicans,-0.0322989306351488
2020-07-12,Democrats,0.08539933362937394
2020-07-12,Republicans,-0.051782333997099105
2020-07-13,Democrats,0.04183482725435959
2020-07-13,Republicans,-0.08618737484326167
2020-07-14,Democrats,0.07198640614604918
2020-07-14,Republicans,-0.050457128034454436
2020-07-19,Democrats,0.11953966431578374
2020-07-19,Republicans,-0.022315786116128205
2020-07-20,Democrats,0.01953527381051811
2020-07-20,Republicans,-0.07716673413279815
2020-07-21,Democrats,-0.00019420492503689595
2020-07-21,Republicans,-0.0395290892214256
2020-07-22,Democrats,-0.018772581419439605
2020-07-22,Republicans,-0.059026667519345155
2020-07-23,Democrats,0.017426417639713053
2020-07-23,Republicans,-0.05324756186272455
2020-07-24,Democrats,0.11376963062461241
2020-07-24,Republicans,0.00029507408793207854
2020-07-25,Democrats,0.06653229614399771
2020-07-25,Republicans,-0.015290462214755341
2020-07-26,Democrats,0.0943759104968173
2020-07-26,Republicans,-0.06209633157123059
2020-07-27,Democrats,0.06257524651005443
2020-07-27,Republicans,-0.09561463516657807
2020-07-28,Democrats,0.18652356400756537
2020-07-28,Republicans,-0.11408723894615544
2020-07-29,Democrats,0.07264924257277698
2020-07-29,Republicans,-0.0490050754096522
2020-07-30,Democrats,0.17217988004504858
2020-07-30,Republicans,0.045370878425970255
2020-08-05,Democrats,0.01286149911469604
2020-08-05,Republicans,-0.0924980317885904
2020-08-06,Democrats,-0.017671313027017726
2020-08-06,Republicans,-0.04873727873538731
2020-08-07,Democrats,-0.07653688726213669
2020-08-07,Republicans,-0.031561117608895774
2020-08-08,Democrats,0.11191615233477378
2020-08-08,Republicans,0.018662051092888425
2020-08-09,Democrats,0.08597950121441074
2020-08-09,Republicans,-0.0028579565497399676
2020-08-10,Democrats,0.0732574913659112
2020-08-10,Republicans,-0.03535707320567879
2020-08-11,Democrats,0.08140147112970912
2020-08-11,Republicans,-0.06098778324117006
2020-08-12,Democrats,0.15551380688256694
2020-08-12,Republicans,0.05317400416960333
2020-08-13,Democrats,0.059453823198702065
2020-08-13,Republicans,-0.009660052767871782
2020-08-14,Democrats,0.029562567554065954
2020-08-14,Republicans,-0.020762964779191966
2020-08-15,Democrats,0.09160542217867058
2020-08-15,Republicans,0.03088649905026736
2020-08-16,Democrats,0.04901413799718885
2020-08-16,Republicans,-0.039897478601975386
2020-08-17,Democrats,0.06716760933269102
2020-08-17,Republicans,-0.03389447466133038
2020-08-18,Democrats,0.0981076705120421
2020-08-18,Republicans,-0.03592185565936252
2020-08-19,Democrats,0.2847975402209717
2020-08-19,Republicans,-0.016731321521671894
2020-08-20,Democrats,0.18122619898904105
2020-08-20,Republicans,-0.07044998364449742
2020-08-21,Democrats,0.1866402304717657
2020-08-21,Republicans,-0.022155841298300855
2020-08-22,Democrats,0.06344851025263396
2020-08-22,Republicans,-0.021732458902396407
2020-08-23,Democrats,0.07151774162691837
2020-08-23,Republicans,-0.035283730056545906
2020-08-24,Democrats,0.0064127820114336705
2020-08-24,Republicans,0.00809856304710964
2020-08-25,Democrats,0.01433636503776784
2020-08-25,Republicans,0.0539028854506363
2020-08-29,Democrats,-0.09496247999403998
2020-08-29,Republicans,-0.060539021817942136
2020-08-30,Democrats,-0.07854201376882212
2020-08-30,Republicans,-0.10494720319848216
2020-08-31,Democrats,-0.1800933662543826
2020-08-31,Republicans,-0.15820886919436664
2020-09-01,Democrats,-0.1381640712696696
2020-09-01,Republicans,-0.12360797087274113
2020-09-02,Democrats,0.11065103798248732
2020-09-02,Republicans,-0.052220755605003
2020-09-03,Democrats,0.03426703261220536
2020-09-03,Republicans,-0.07648478055053656
2020-09-04,Democrats,0.04686938312040309
2020-09-04,Republicans,-0.21653144410624076
2020-09-05,Democrats,-0.032143311762257154
2020-09-05,Republicans,-0.09147080275378963
2020-09-06,Democrats,0.04657750304127649
2020-09-06,Republicans,-0.06220280320492036
2020-09-07,Democrats,0.027585635460844908
2020-09-07,Republicans,-0.07901905985643061
2020-09-08,Democrats,0.06862953553044909
2020-09-08,Republicans,-0.09741003807674502
2020-09-09,Democrats,0.11054380810172922
2020-09-09,Republicans,0.06847615988125216
2020-09-10,Democrats,-0.01805787742078305
2020-09-10,Republicans,-0.15242124660869813
2020-09-11,Democrats,-0.03632931825989609
2020-09-11,Republicans,0.004580754094166133
2020-09-12,Democrats,0.04275158313521339
2020-09-12,Republicans,0.05243311253103995
2020-09-13,Democrats,0.10609895780174418
2020-09-13,Republicans,-0.049041703949724125
2020-09-14,Democrats,-0.1334445268099827
2020-09-14,Republicans,-0.034156846823817574
2020-09-15,Democrats,-0.010635617699822348
2020-09-15,Republicans,0.011550366985043593
2020-09-16,Democrats,0.10622195371931628
2020-09-16,Republicans,0.05633078150510226
2020-09-17,Democrats,0.12408529858648222
2020-09-17,Republicans,-0.06092189292189292
2020-09-18,Democrats,0.07828782253680766
2020-09-18,Republicans,0.010093277482723808
2020-09-19,Democrats,0.2180269153537226
2020-09-19,Republicans,0.08959840394993686
2020-09-20,Democrats,0.17729183048181993
2020-09-20,Republicans,0.0830320167927694
2020-09-21,Democrats,0.15730058464531163
2020-09-21,Republicans,0.0383037930249661
2020-09-22,Democrats,0.07485084483308284
2020-09-22,Republicans,0.046173676041736465
2020-09-23,Democrats,0.09625594625220737
2020-09-23,Republicans,0.0483912257750992
2020-09-24,Democrats,-0.04722915462886696
2020-09-24,Republicans,0.05616759916509844
2020-09-25,Democrats,0.0635044765211036
2020-09-25,Republicans,0.03987212152921835
2020-09-26,Democrats,-0.08286953547664946
2020-09-26,Republicans,0.09582924572184538
2020-09-27,Democrats,0.08461726299785423
2020-09-27,Republicans,0.18274516488275566
2020-09-28,Democrats,0.07558885064452993
2020-09-28,Republicans,-0.07872143770926297
2020-09-29,Democrats,0.051709918627666586
2020-09-29,Republicans,-0.005575119015720654
2020-09-30,Democrats,-0.0016103258824828762
2020-09-30,Republicans,-0.05931516065706729
2020-10-01,Democrats,-0.027804133120080964
2020-10-01,Republicans,-0.05082727610757436
2020-10-05,Democrats,0.03727850390039778
2020-10-05,Republicans,0.025621011868167304
2020-10-06,Democrats,0.14603700975240733
2020-10-06,Republicans,-0.01408090356495539
2020-10-07,Democrats,0.09219740170118639
2020-10-07,Republicans,0.0034847369693296218
2020-10-08,Democrats,0.19051127396451137
2020-10-08,Republicans,0.007410885579964978
2020-10-09,Democrats,0.1389653302560897
2020-10-09,Republicans,-0.06811399163790759
2020-10-10,Democrats,0.14114025500449381
2020-10-10,Republicans,-0.03349434113871173
2020-10-11,Democrats,0.1440371323053931
2020-10-11,Republicans,-0.019354558352359746
2020-10-12,Democrats,0.2048433092520928
2020-10-12,Republicans,-0.033738081804734234
2020-10-13,Democrats,0.11516401974477741
2020-10-13,Republicans,0.005781161872532427
2020-10-14,Democrats,0.060631832598026195
2020-10-14,Republicans,0.014695937444956092
2020-10-15,Democrats,-0.0019699894841779114
2020-10-15,Republicans,-0.00707303588393164
2020-10-16,Democrats,0.13845048734221796
2020-10-16,Republicans,-0.06354793416029654
2020-10-17,Democrats,0.06351552808889101
2020-10-17,Republicans,-0.03540421698862333
2020-10-18,Democrats,0.09822067935853711
2020-10-18,Republicans,-0.037451737878406846
2020-10-19,Democrats,0.06576586022487595
2020-10-19,Republicans,-0.015804043549175754
2020-10-20,Democrats,0.10539482454586108
2020-10-20,Republicans,0.01918568279489781
2020-10-21,Democrats,0.0033309265007604016
2020-10-21,Republicans,-0.00943793528974127
2020-10-22,Democrats,0.08377354109791674
2020-10-22,Republicans,0.00517741894395938
2020-10-23,Democrats,0.026024469533164712
2020-10-23,Republicans,-0.021667459427229467
2020-10-24,Democrats,0.0909052636714562
2020-10-24,Republicans,0.0010492288326813296
2020-10-25,Democrats,0.049065317964400536
2020-10-25,Republicans,-0.008868830790157144
2020-10-26,Democrats,0.016972074123537823
2020-10-26,Republicans,-0.004223702557950204
2020-10-27,Democrats,0.10637275335807457
2020-10-27,Republicans,0.0663671399622116
2020-10-28,Democrats,0.04867205427516712
2020-10-28,Republicans,0.022863898226787558
2020-10-29,Democrats,0.04888234865816692
2020-10-29,Republicans,0.05498054640527854
2020-10-30,Democrats,0.014227079874561892
2020-10-30,Republicans,0.002416709822199199
2020-10-31,Democrats,0.12099867091751088
2020-10-31,Republicans,0.038243956124170725
2020-11-01,Democrats,0.09236885459815111
2020-11-01,Republicans,0.05594986193207696
2020-11-02,Democrats,0.10394529729754699
2020-11-02,Republicans,9.832106397238933e-05
2020-11-03,Democrats,0.1669971136081046
2020-11-03,Republicans,0.08400526386996741
2020-11-04,Democrats,0.2826661834010897
2020-11-04,Republicans,0.026280073161050438
2020-11-05,Democrats,0.27681694610648117
2020-11-05,Republicans,-0.011933764110931484
2020-11-06,Democrats,0.21825826564155795
2020-11-06,Republicans,-0.08150351622061412
2020-11-07,Democrats,0.3841327099394874
2020-11-07,Republicans,-0.0456211728296534
2020-11-08,Democrats,0.31959985270276675
2020-11-08,Republicans,-0.006470209140112056
2020-11-09,Democrats,0.24720917355625646
2020-11-09,Republicans,-0.0041397950138765275
2020-11-10,Democrats,0.21805455112036173
2020-11-10,Republicans,0.0014673252533811984
2020-11-11,Democrats,0.17904274747739815
2020-11-11,Republicans,-0.0804390169968234
2020-11-12,Democrats,0.2215584107586284
2020-11-12,Republicans,-0.07708423037893725
